Steve Jobs (Hardcover),Walter Isaacson
The Diary of a Young Girl (Mass Market Paperback),Anne Frank
Becoming (Hardcover),Michelle Obama
"Elon Musk: Tesla, SpaceX, and the Quest for a Fantastic Future (Hardcover)",Ashlee Vance
"Unbroken: A World War II Story of Survival, Resilience and Redemption (Hardcover)",Laura Hillenbrand
Educated (Hardcover),Tara Westover
John Adams (Paperback),David McCullough
Einstein: His Life and Universe (Hardcover),Walter Isaacson
Alexander Hamilton (Paperback),Ron Chernow
Born a Crime: Stories From a South African Childhood (Hardcover),Trevor Noah
The Immortal Life of Henrietta Lacks (Hardcover),Rebecca Skloot
The Autobiography of Malcolm X (Mass Market Paperback),Malcolm X
Bossypants (Kindle Edition),Tina Fey
Into the Wild (Paperback),Jon Krakauer
Leonardo da Vinci (Hardcover),Walter Isaacson
I Am Malala: The Story of the Girl Who Stood Up for Education and Was Shot by the Taliban (Hardcover),Malala Yousafzai
Benjamin Franklin: An American Life (Paperback),Walter Isaacson
Shoe Dog: A Memoir by the Creator of Nike (Hardcover),Phil Knight
"Night  (The Night Trilogy, #1)",Elie Wiesel
When Breath Becomes Air (Kindle Edition),Paul Kalanithi
A Promised Land (Kindle Edition),Barack Obama
"I Know Why the Caged Bird Sings (Maya Angelou's Autobiography, #1)",Maya Angelou
Team of Rivals: The Political Genius of Abraham Lincoln (Paperback),Doris Kearns Goodwin
The Glass Castle (Paperback),Jeannette Walls
Washington: A Life (Hardcover),Ron Chernow
Cleopatra: A Life (Hardcover),Stacy Schiff
Yes Please (Hardcover),Amy Poehler
I'm Glad My Mom Died (ebook),Jennette McCurdy
"Bonhoeffer: Pastor, Martyr, Prophet, Spy (Hardcover)",Eric Metaxas
The Autobiography of Benjamin Franklin (Paperback),Benjamin Franklin
Catherine the Great: Portrait of a Woman (Hardcover),Robert K. Massie
The Rise of Theodore Roosevelt (Paperback),Edmund Morris
"Angela's Ashes (Frank McCourt, #1)",Frank McCourt
Long Walk to Freedom (Paperback),Nelson Mandela
The Hiding Place: The Triumphant True Story of Corrie Ten Boom (Mass Market Paperback),Corrie ten Boom
Man's Search for Meaning (Paperback),Viktor E. Frankl
"Titan: The Life of John D. Rockefeller, Sr. (Paperback)",Ron Chernow
The Wright Brothers (Hardcover),David McCullough
Wild: From Lost to Found on the Pacific Crest Trail (Hardcover),Cheryl Strayed
Dreams from My Father: A Story of Race and Inheritance (Paperback),Barack Obama
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis (Hardcover),J.D. Vance
Grant (Hardcover),Ron Chernow
Narrative of the Life of Frederick Douglass (Paperback),Frederick Douglass
American Prometheus: The Triumph and Tragedy of J. Robert Oppenheimer (Paperback),Kai Bird
Greenlights (Hardcover),Matthew McConaughey
Tuesdays with Morrie (Paperback),Mitch Albom
Notorious RBG: The Life and Times of Ruth Bader Ginsburg (Hardcover),Irin Carmon
"Eat, Pray, Love (Paperback)",Elizabeth Gilbert
Just Kids (Hardcover),Patti Smith
