"Saga, Volume 1 (Paperback)",Brian K. Vaughan
"The Sandman, Vol. 1: Preludes & Nocturnes (Hardcover)",Neil Gaiman
V for Vendetta (Hardcover),Alan Moore
Batman: Year One (Paperback),Frank Miller
Batman: The Dark Knight Returns (Hardcover),Frank Miller
"Saga, Volume 2 (Paperback)",Brian K. Vaughan
"The Sandman, Vol. 2: The Doll's House (Hardcover)",Neil Gaiman
"Saga, Volume 3 (Paperback)",Brian K. Vaughan
"Fables, Vol. 1: Legends in Exile (Paperback)",Bill Willingham
Batman: The Long Halloween (Paperback),Jeph Loeb
"The Sandman, Vol. 3: Dream Country (Hardcover)",Neil Gaiman
The Complete Maus (Paperback),Art Spiegelman
"Scott Pilgrim's Precious Little Life (Scott Pilgrim, #1)",Bryan Lee O'Malley
"Saga, Volume 4 (Paperback)",Brian K. Vaughan
"The Walking Dead, Vol. 1: Days Gone Bye (Paperback)",Robert Kirkman
"The Sandman, Vol. 4: Season of Mists (Hardcover)",Neil Gaiman
"Paper Girls, Volume 1 (Paperback)",Brian K. Vaughan
"Saga, Volume 5 (Paperback)",Brian K. Vaughan
"The Wicked + The Divine, Vol. 1: The Faust Act (Paperback)",Kieron Gillen
"Locke & Key, Vol. 1: Welcome to Lovecraft (Hardcover)",Joe Hill
Nimona (Kindle Edition),N.D. Stevenson
"Batman, Volume 1: The Court of Owls (Hardcover)",Scott Snyder
"The Sandman, Vol. 5: A Game of You (Hardcover)",Neil Gaiman
"Hawkeye, Volume 1: My Life as a Weapon (Paperback)",Matt Fraction
Fun Home: A Family Tragicomic (Paperback),Alison Bechdel
Batman: Arkham Asylum - A Serious House on Serious Earth (Paperback),Grant Morrison
Batman: Hush (Paperback),Jeph Loeb
The Complete Persepolis (Paperback),Marjane Satrapi
